Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","02/10/2024 06:18"
"Last updated:","02/10/2024 06:18"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Internally displaced persons"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=sj79CW
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.internal-displacement.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP"
Years:
Origin:,"AIA,ANT,ARG,ABW,BHS,BAR,BZE,BER,BOL,BES,BRA,BVI,CAN,CAY,CHL,COL,COS,CUB,CUW,DMA,DOM,ECU,SAL,FGU,GRN,GLP,GUA,GUY,HAI,HON,JAM,MAR,MEX,MSR,NIC,PAN,PAR,PER,PUE,STK,LCA,VCT,MAF,SPM,SXM,SUR,TRT,TCI,USA,URU,VEN"
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2019,"Bolivia (Plurinational State of)",BOL,-,-,31
2019,Colombia,COL,-,-,5576000
2019,Guatemala,GTM,-,-,242000
2019,Haiti,HTI,-,-,2100
2019,Honduras,HND,-,-,247000
2019,Mexico,MEX,-,-,345000
2019,Peru,PER,-,-,60000
2020,Colombia,COL,-,-,4922000
2020,Guatemala,GTM,-,-,242000
2020,Haiti,HTI,-,-,7900
2020,Honduras,HND,-,-,247000
2020,Mexico,MEX,-,-,357000
2020,Peru,PER,-,-,60000
2021,Brazil,BRA,-,-,21000
2021,Colombia,COL,-,-,5235000
2021,Guatemala,GTM,-,-,242000
2021,Haiti,HTI,-,-,17000
2021,Honduras,HND,-,-,247000
2021,Mexico,MEX,-,-,379000
2021,Nicaragua,NIC,-,-,77
2021,Peru,PER,-,-,60000
2022,Brazil,BRA,-,-,5600
2022,Colombia,COL,-,-,4766000
2022,Guatemala,GTM,-,-,242000
2022,Haiti,HTI,-,-,171000
2022,Honduras,HND,-,-,247000
2022,Mexico,MEX,-,-,386000
2022,Nicaragua,NIC,-,-,80
2022,Peru,PER,-,-,73000
2022,"El Salvador",SLV,-,-,52000
2023,Brazil,BRA,-,-,16000
2023,Colombia,COL,-,-,5077000
2023,Guatemala,GTM,-,-,242000
2023,Haiti,HTI,-,-,311000
2023,Honduras,HND,-,-,101000
2023,Mexico,MEX,-,-,392000
2023,Nicaragua,NIC,-,-,1000
2023,Peru,PER,-,-,75000
2023,"El Salvador",SLV,-,-,49000
